web-scraper-order,web-scraper-start-url,riverSegment,riverName,riverMile,bank,lat,long,season,camping,contact,phone,website,restrooms-src,potableWater-src,marineDumpStation-src,dayUseOnly-src,picnicShelters-src,boatRamp-src,handCarried-src,marina-src,adaAccess-src
1639845858-13,http://www.ndwt.org/ndwt/explore/site.asp?site=201,,,,,,,,,USACE,,,1,0,0,0,0,0,0,0,0
1639846015-81,http://www.ndwt.org/ndwt/explore/site.asp?site=130,Lake Umatilla,Columbia,234,OR,45.695,-120.37,,,US Army Corps of Engineers,,,0,0,0,0,0,0,0,0,0
1639846259-189,http://www.ndwt.org/ndwt/explore/site.asp?site=20,,Clearwater,,ID,,,,,CMC/BLM,,,0,0,0,0,0,0,0,0,0
1639845856-12,http://www.ndwt.org/ndwt/explore/site.asp?site=202,Clearwater,Clearwater,34,South,46.49144,116.45002,year round,None,BLM Cottonwood Field Office,(208)962-3425,http://tinyurl.com/2dhmo9,1,0,0,1,0,1,0,0,0
1639846035-90,http://www.ndwt.org/ndwt/explore/site.asp?site=121,Lake Umatilla,Columbia,278,WA,45.93342,-119.59269,,none,The Dalles Natural Resource Management Office,,,0,0,0,1,0,1,1,0,0
1639845951-52,http://www.ndwt.org/ndwt/explore/site.asp?site=159,Lake Bonneville,Columbia,170,S- OR,45.711983,-121.506617,"year round, fuel for vessels April 16-Sept.30",None,Port of Hood River,541-386-1645,http://tinyurl.com/24vmnd,1,0,1,1,0,1,0,1,1
1639845940-47,http://www.ndwt.org/ndwt/explore/site.asp?site=164,Lake Bonneville,Columbia,169,OR,45.7166,-121.522583,year round,None,Port of Hood River,541-386-1645,http://tinyurl.com/24mqav,1,0,0,1,0,0,1,0,0
1639845880-23,http://www.ndwt.org/ndwt/explore/site.asp?site=191,,Clearwater,151,,,,,,Skamania Country Parks,,,0,0,0,0,0,1,0,0,0
1639845957-55,http://www.ndwt.org/ndwt/explore/site.asp?site=156,Lake Bonneville,Columbia,172,WA,45.70905,-121.4572,year round,None,Port of Klickitat,509-493-1655,http://tinyurl.com/27zyt6,1,0,0,1,0,0,0,0,0
1639846134-135,http://www.ndwt.org/ndwt/explore/site.asp?site=76,Lake Sacajawea,Snake,25,S -WA,46.368257,-118.687991,Year round,undeveloped,Ice Harbor Lock and Dam,,,0,0,0,1,0,0,0,0,0
1639846165-149,http://www.ndwt.org/ndwt/explore/site.asp?site=62,Lake West,Snake,70.29,,,,,,,,,0,0,0,0,0,0,0,0,0
1639845931-43,http://www.ndwt.org/ndwt/explore/site.asp?site=168,Lake Bonneville,Columbia,155,N-WA,45.710733,-121.778467,Camping April 1 - October 31,Yes,Skamania Parks and Recreation,509-427-3980,http://www.chvs.org/home_valley.html,1,0,0,1,0,0,1,0,1
1639846094-117,http://www.ndwt.org/ndwt/explore/site.asp?site=94,Lake Wallula,Columbia,335,WA,46.245979,-119.239763,,undeveloped,,,,0,0,0,1,0,0,0,0,0
1639845911-34,http://www.ndwt.org/ndwt/explore/site.asp?site=177,Lower Columbia River Water Trail,Columbia,144,WA,45.633767,-121.96525,year round,undeveloped,US Army Corps of Engineers,541-374-4556,,0,0,0,1,0,1,0,0,0
1639846099-119,http://www.ndwt.org/ndwt/explore/site.asp?site=92,Lake Wallula,Columbia,336,WA,46.261313,-119.241768,,,,,,0,0,0,0,0,0,0,0,0
1639845948-51,http://www.ndwt.org/ndwt/explore/site.asp?site=160,Lake Bonneville,Columbia,170,OR,45.710833,-121.497883,,,Privately Owned,541-386-2200,,0,0,0,0,0,0,0,0,0
1639845998-73,http://www.ndwt.org/ndwt/explore/site.asp?site=138,Lake Celilo,Columbia,214,OR,45.711,-120.71,,Yes,Army Corps of Engineers,,,1,0,0,1,0,0,1,0,0
